depth,control_type,name,automation_id,class_name,framework_id,handle,left,top,right,bottom
4,MenuItem,Select/edit from fluid editor...,,,,,0,0,0,0
2,Pane,"When multiple fluid segments containing compressible fluid are defined in the well, fluid forces will not be calculated.",BottomPanel,WindowsForms10.Window.8.app.0.141b42a_r7_ad1,WinForm,4263832,4067,801,4805,803
2,Pane,"When multiple fluid segments containing compressible fluid are defined in the well, fluid forces will not be calculated.",LeftPanel,WindowsForms10.Window.8.app.0.141b42a_r7_ad1,WinForm,790488,4065,242,4067,803
2,Pane,"When multiple fluid segments containing compressible fluid are defined in the well, fluid forces will not be calculated.",RightPanel,WindowsForms10.Window.8.app.0.141b42a_r7_ad1,WinForm,659372,4805,242,4807,803
2,Pane,"When multiple fluid segments containing compressible fluid are defined in the well, fluid forces will not be calculated.",TopPanel,WindowsForms10.Window.8.app.0.141b42a_r7_ad1,WinForm,5509106,4065,216,4807,242
3,Text,  Fluids Distribution,lblFormTitle,WindowsForms10.STATIC.app.0.141b42a_r7_ad1,WinForm,659294,4090,217,4734,243
3,Pane,_,btnMinimize,WindowsForms10.Window.8.app.0.141b42a_r7_ad1,WinForm,659348,4734,217,4758,241
3,Pane,Maximize,btnMaximize,WindowsForms10.Window.8.app.0.141b42a_r7_ad1,WinForm,659410,4758,217,4782,241
3,Pane,A,btnCloseForm,WindowsForms10.Window.8.app.0.141b42a_r7_ad1,WinForm,1315098,4782,217,4806,241
3,Pane,"When multiple fluid segments containing compressible fluid are defined in the well, fluid forces will not be calculated.",pnlIcon,WindowsForms10.Window.8.app.0.141b42a_r7_ad1,WinForm,462660,4066,217,4090,241
1,Tab,,TCOrpheusMain,WindowsForms10.SysTabControl32.app.0.141b42a_r7_ad1,WinForm,68120,4059,229,4813,870
2,Pane,   Calculate   ,tpCalculate,WindowsForms10.Window.8.app.0.141b42a_r7_ad1,WinForm,133750,4063,254,4809,866
3,Text,Bottom :,Label18,WindowsForms10.STATIC.app.0.141b42a_r7_ad1,WinForm,133738,4611,369,4663,383
3,Button,TD,btnMaxWellDepth,WindowsForms10.BUTTON.app.0.141b42a_r7_ad1,WinForm,133740,4754,366,4790,390
