WindowText,AutomationId,ControlType,ClassName,DepthPath
Maximum pipe stress during POOH  (% of YS),chkPOOH_MaxYield,CheckBox,WindowsForms10.BUTTON.app.0.141b42a_r7_ad1,root/ Sensitivity Analysis Wizard - Abbey A-02/SplitContainer1/4264994/Panel15/SplitContainer2/4920472/Sensitivity Setting/Outputs/Force on end/Maximum pipe stress during POOH  (% of YS)
Maximum pick-up force (max PUF),chkMaxPUF,CheckBox,WindowsForms10.BUTTON.app.0.141b42a_r7_ad1,root/ Sensitivity Analysis Wizard - Abbey A-02/SplitContainer1/4264994/Panel15/SplitContainer2/4920472/Sensitivity Setting/Outputs/Force on end/Maximum pick-up force (max PUF)
Maximum set-down force (max SDF),chkMaxSDF,CheckBox,WindowsForms10.BUTTON.app.0.141b42a_r7_ad1,root/ Sensitivity Analysis Wizard - Abbey A-02/SplitContainer1/4264994/Panel15/SplitContainer2/4920472/Sensitivity Setting/Outputs/Force on end/Maximum set-down force (max SDF)
Vertical,NonClientVerticalScrollBar,ScrollBar,,root/ Sensitivity Analysis Wizard - Abbey A-02/SplitContainer1/4264994/Panel15/SplitContainer2/4920472/Sensitivity Setting/Outputs/Force on end/Vertical
Line up,UpButton,Button,,root/ Sensitivity Analysis Wizard - Abbey A-02/SplitContainer1/4264994/Panel15/SplitContainer2/4920472/Sensitivity Setting/Outputs/Force on end/Vertical/Line up
Position,ScrollbarThumb,Thumb,,root/ Sensitivity Analysis Wizard - Abbey A-02/SplitContainer1/4264994/Panel15/SplitContainer2/4920472/Sensitivity Setting/Outputs/Force on end/Vertical/Position
Page down,DownPageButton,Button,,root/ Sensitivity Analysis Wizard - Abbey A-02/SplitContainer1/4264994/Panel15/SplitContainer2/4920472/Sensitivity Setting/Outputs/Force on end/Vertical/Page down
Line down,DownButton,Button,,root/ Sensitivity Analysis Wizard - Abbey A-02/SplitContainer1/4264994/Panel15/SplitContainer2/4920472/Sensitivity Setting/Outputs/Force on end/Vertical/Line down
Horizontal,NonClientHorizontalScrollBar,ScrollBar,,root/ Sensitivity Analysis Wizard - Abbey A-02/SplitContainer1/4264994/Panel15/SplitContainer2/4920472/Sensitivity Setting/Outputs/Force on end/Horizontal
Column left,UpButton,Button,,root/ Sensitivity Analysis Wizard - Abbey A-02/SplitContainer1/4264994/Panel15/SplitContainer2/4920472/Sensitivity Setting/Outputs/Force on end/Horizontal/Column left
Page left,UpPageButton,Button,,root/ Sensitivity Analysis Wizard - Abbey A-02/SplitContainer1/4264994/Panel15/SplitContainer2/4920472/Sensitivity Setting/Outputs/Force on end/Horizontal/Page left
Position,ScrollbarThumb,Thumb,,root/ Sensitivity Analysis Wizard - Abbey A-02/SplitContainer1/4264994/Panel15/SplitContainer2/4920472/Sensitivity Setting/Outputs/Force on end/Horizontal/Position
Page right,DownPageButton,Button,,root/ Sensitivity Analysis Wizard - Abbey A-02/SplitContainer1/4264994/Panel15/SplitContainer2/4920472/Sensitivity Setting/Outputs/Force on end/Horizontal/Page right
Column right,DownButton,Button,,root/ Sensitivity Analysis Wizard - Abbey A-02/SplitContainer1/4264994/Panel15/SplitContainer2/4920472/Sensitivity Setting/Outputs/Force on end/Horizontal/Column right
,,Thumb,,root/ Sensitivity Analysis Wizard - Abbey A-02/SplitContainer1/4264994/Panel15/SplitContainer2/4920472/Sensitivity Setting/Outputs/Force on end/Thumb
Parameters,,TabItem,,root/ Sensitivity Analysis Wizard - Abbey A-02/SplitContainer1/4264994/Panel15/SplitContainer2/4920472/Sensitivity Setting/Parameters
Outputs,,TabItem,,root/ Sensitivity Analysis Wizard - Abbey A-02/SplitContainer1/4264994/Panel15/SplitContainer2/4920472/Sensitivity Setting/Outputs
Graphs,,TabItem,,root/ Sensitivity Analysis Wizard - Abbey A-02/SplitContainer1/4264994/Panel15/SplitContainer2/4920472/Sensitivity Setting/Graphs
Plot output(s) against the parameter:,Panel12,Pane,WindowsForms10.Window.8.app.0.141b42a_r7_ad1,root/ Sensitivity Analysis Wizard - Abbey A-02/SplitContainer1/4264994/Panel15/SplitContainer2/4920472/Plot output(s) against the parameter:
Deselect All,cmdDeselAll,Button,WindowsForms10.BUTTON.app.0.141b42a_r7_ad1,root/ Sensitivity Analysis Wizard - Abbey A-02/SplitContainer1/4264994/Panel15/SplitContainer2/4920472/Plot output(s) against the parameter:/Deselect All
Select All,cmdSelAll,Button,WindowsForms10.BUTTON.app.0.141b42a_r7_ad1,root/ Sensitivity Analysis Wizard - Abbey A-02/SplitContainer1/4264994/Panel15/SplitContainer2/4920472/Plot output(s) against the parameter:/Select All
,Panel6,Pane,WindowsForms10.Window.8.app.0.141b42a_r7_ad1,root/ Sensitivity Analysis Wizard - Abbey A-02/SplitContainer1/4264994/Panel15/SplitContainer2/4920472/Panel6
Sensitivity Setting,Label4,Text,WindowsForms10.STATIC.app.0.141b42a_r7_ad1,root/ Sensitivity Analysis Wizard - Abbey A-02/SplitContainer1/4264994/Panel15/SplitContainer2/4920472/Panel6/Sensitivity Setting
,921462,Pane,WindowsForms10.Window.8.app.0.141b42a_r7_ad1,root/ Sensitivity Analysis Wizard - Abbey A-02/SplitContainer1/921462
(un-named),tabAnalysis,Tab,WindowsForms10.SysTabControl32.app.0.141b42a_r7_ad1,root/ Sensitivity Analysis Wizard - Abbey A-02/SplitContainer1/921462/(un-named)
Data,tpAnalysisData,Pane,WindowsForms10.Window.8.app.0.141b42a_r7_ad1,root/ Sensitivity Analysis Wizard - Abbey A-02/SplitContainer1/921462/(un-named)/Data
DataGridView,grdSensitivityData,Table,WindowsForms10.Window.8.app.0.141b42a_r7_ad1,root/ Sensitivity Analysis Wizard - Abbey A-02/SplitContainer1/921462/(un-named)/Data/DataGridView
Top Row,,Custom,,root/ Sensitivity Analysis Wizard - Abbey A-02/SplitContainer1/921462/(un-named)/Data/DataGridView/Top Row
#,,Header,,root/ Sensitivity Analysis Wizard - Abbey A-02/SplitContainer1/921462/(un-named)/Data/DataGridView/Top Row/#
"BHA Depth(ft)",,Header,,"root/ Sensitivity Analysis Wizard - Abbey A-02/SplitContainer1/921462/(un-named)/Data/DataGridView/Top Row/BHA Depth(ft)"
"Pipe Fluid Density(lb/gal)",,Header,,"root/ Sensitivity Analysis Wizard - Abbey A-02/SplitContainer1/921462/(un-named)/Data/DataGridView/Top Row/Pipe Fluid Density(lb/gal)"
"Lockup Depth(ft)",,Header,,"root/ Sensitivity Analysis Wizard - Abbey A-02/SplitContainer1/921462/(un-named)/Data/DataGridView/Top Row/Lockup Depth(ft)"
"Min Surface Wt - RIH(lbf)",,Header,,"root/ Sensitivity Analysis Wizard - Abbey A-02/SplitContainer1/921462/(un-named)/Data/DataGridView/Top Row/Min Surface Wt - RIH(lbf)"
Row 0,,Custom,,root/ Sensitivity Analysis Wizard - Abbey A-02/SplitContainer1/921462/(un-named)/Data/DataGridView/Row 0
# Row 0,,Edit,,root/ Sensitivity Analysis Wizard - Abbey A-02/SplitContainer1/921462/(un-named)/Data/DataGridView/Row 0/# Row 0
"BHA Depth(ft) Row 0",,Edit,,"root/ Sensitivity Analysis Wizard - Abbey A-02/SplitContainer1/921462/(un-named)/Data/DataGridView/Row 0/BHA Depth(ft) Row 0"
"Pipe Fluid Density(lb/gal) Row 0",,Edit,,"root/ Sensitivity Analysis Wizard - Abbey A-02/SplitContainer1/921462/(un-named)/Data/DataGridView/Row 0/Pipe Fluid Density(lb/gal) Row 0"
"Lockup Depth(ft) Row 0",,Edit,,"root/ Sensitivity Analysis Wizard - Abbey A-02/SplitContainer1/921462/(un-named)/Data/DataGridView/Row 0/Lockup Depth(ft) Row 0"
"Min Surface Wt - RIH(lbf) Row 0",,Edit,,"root/ Sensitivity Analysis Wizard - Abbey A-02/SplitContainer1/921462/(un-named)/Data/DataGridView/Row 0/Min Surface Wt - RIH(lbf) Row 0"
Row 1,,Custom,,root/ Sensitivity Analysis Wizard - Abbey A-02/SplitContainer1/921462/(un-named)/Data/DataGridView/Row 1
# Row 1,,Edit,,root/ Sensitivity Analysis Wizard - Abbey A-02/SplitContainer1/921462/(un-named)/Data/DataGridView/Row 1/# Row 1
"BHA Depth(ft) Row 1",,Edit,,"root/ Sensitivity Analysis Wizard - Abbey A-02/SplitContainer1/921462/(un-named)/Data/DataGridView/Row 1/BHA Depth(ft) Row 1"
"Pipe Fluid Density(lb/gal) Row 1",,Edit,,"root/ Sensitivity Analysis Wizard - Abbey A-02/SplitContainer1/921462/(un-named)/Data/DataGridView/Row 1/Pipe Fluid Density(lb/gal) Row 1"
"Lockup Depth(ft) Row 1",,Edit,,"root/ Sensitivity Analysis Wizard - Abbey A-02/SplitContainer1/921462/(un-named)/Data/DataGridView/Row 1/Lockup Depth(ft) Row 1"
"Min Surface Wt - RIH(lbf) Row 1",,Edit,,"root/ Sensitivity Analysis Wizard - Abbey A-02/SplitContainer1/921462/(un-named)/Data/DataGridView/Row 1/Min Surface Wt - RIH(lbf) Row 1"
* Indication of invalid hydraulics calculation (negative pressure calculated due to high frictional loss).,Panel13,Pane,WindowsForms10.Window.8.app.0.141b42a_r7_ad1,root/ Sensitivity Analysis Wizard - Abbey A-02/SplitContainer1/921462/(un-named)/Data/* Indication of invalid hydraulics calculation (negative pressure calculated due to high frictional loss).
Data,,TabItem,,root/ Sensitivity Analysis Wizard - Abbey A-02/SplitContainer1/921462/(un-named)/Data
Graph,,TabItem,,root/ Sensitivity Analysis Wizard - Abbey A-02/SplitContainer1/921462/(un-named)/Graph
,Panel4,Pane,WindowsForms10.Window.8.app.0.141b42a_r7_ad1,root/ Sensitivity Analysis Wizard - Abbey A-02/SplitContainer1/921462/Panel4
Sensitivity Analysis,Panel5,Pane,WindowsForms10.Window.8.app.0.141b42a_r7_ad1,root/ Sensitivity Analysis Wizard - Abbey A-02/SplitContainer1/921462/Panel4/Sensitivity Analysis
Template:,Label3,Text,WindowsForms10.STATIC.app.0.141b42a_r7_ad1,root/ Sensitivity Analysis Wizard - Abbey A-02/SplitContainer1/921462/Panel4/Sensitivity Analysis/Template:
(un-named),lblTemplateName,Text,WindowsForms10.STATIC.app.0.141b42a_r7_ad1,root/ Sensitivity Analysis Wizard - Abbey A-02/SplitContainer1/921462/Panel4/Sensitivity Analysis/(un-named)
Sensitivity Analysis,Label2,Text,WindowsForms10.STATIC.app.0.141b42a_r7_ad1,root/ Sensitivity Analysis Wizard - Abbey A-02/SplitContainer1/921462/Panel4/Sensitivity Analysis
MenuStrip1,MenuStrip1,MenuBar,WindowsForms10.Window.8.app.0.141b42a_r7_ad1,root/ Sensitivity Analysis Wizard - Abbey A-02/MenuStrip1
File,,MenuItem,,root/ Sensitivity Analysis Wizard - Abbey A-02/MenuStrip1/File
New Setting,,MenuItem,,root/ Sensitivity Analysis Wizard - Abbey A-02/MenuStrip1/File/New Setting
,,Separator,,root/ Sensitivity Analysis Wizard - Abbey A-02/MenuStrip1/File/Separator
Open Template,,MenuItem,,root/ Sensitivity Analysis Wizard - Abbey A-02/MenuStrip1/File/Open Template
Save Template,,MenuItem,,root/ Sensitivity Analysis Wizard - Abbey A-02/MenuStrip1/File/Save Template
Save As Template...,,MenuItem,,root/ Sensitivity Analysis Wizard - Abbey A-02/MenuStrip1/File/Save As Template...
Delete Template,,MenuItem,,root/ Sensitivity Analysis Wizard - Abbey A-02/MenuStrip1/File/Delete Template
,,Separator,,root/ Sensitivity Analysis Wizard - Abbey A-02/MenuStrip1/File/Separator
Print,,MenuItem,,root/ Sensitivity Analysis Wizard - Abbey A-02/MenuStrip1/File/Print
,,Separator,,root/ Sensitivity Analysis Wizard - Abbey A-02/MenuStrip1/File/Separator
Exit,,MenuItem,,root/ Sensitivity Analysis Wizard - Abbey A-02/MenuStrip1/File/Exit
Edit,,MenuItem,,root/ Sensitivity Analysis Wizard - Abbey A-02/MenuStrip1/Edit
Insert Row,,MenuItem,,root/ Sensitivity Analysis Wizard - Abbey A-02/MenuStrip1/Edit/Insert Row
Delete Row,,MenuItem,,root/ Sensitivity Analysis Wizard - Abbey A-02/MenuStrip1/Edit/Delete Row
Clear All,,MenuItem,,root/ Sensitivity Analysis Wizard - Abbey A-02/MenuStrip1/Edit/Clear All
,,Separator,,root/ Sensitivity Analysis Wizard - Abbey A-02/MenuStrip1/Edit/Separator
Copy tabulated data,,MenuItem,,root/ Sensitivity Analysis Wizard - Abbey A-02/MenuStrip1/Edit/Copy tabulated data
,,Separator,,root/ Sensitivity Analysis Wizard - Abbey A-02/MenuStrip1/Edit/Separator
Select...,,MenuItem,,root/ Sensitivity Analysis Wizard - Abbey A-02/MenuStrip1/Edit/Select...
,,Separator,,root/ Sensitivity Analysis Wizard - Abbey A-02/MenuStrip1/Edit/Separator
Sort ascending,,MenuItem,,root/ Sensitivity Analysis Wizard - Abbey A-02/MenuStrip1/Edit/Sort ascending
Sort descending,,MenuItem,,root/ Sensitivity Analysis Wizard - Abbey A-02/MenuStrip1/Edit/Sort descending
Options,,MenuItem,,root/ Sensitivity Analysis Wizard - Abbey A-02/MenuStrip1/Options
Show project information panel,,MenuItem,,root/ Sensitivity Analysis Wizard - Abbey A-02/MenuStrip1/Options/Show project information panel
Show sensitivity setting panel,,MenuItem,,root/ Sensitivity Analysis Wizard - Abbey A-02/MenuStrip1/Options/Show sensitivity setting panel
,,Separator,,root/ Sensitivity Analysis Wizard - Abbey A-02/MenuStrip1/Options/Separator
Freeze parameter columns in analysis table,,MenuItem,,root/ Sensitivity Analysis Wizard - Abbey A-02/MenuStrip1/Options/Freeze parameter columns in analysis table
,,Separator,,root/ Sensitivity Analysis Wizard - Abbey A-02/MenuStrip1/Options/Separator
Tools,,MenuItem,,root/ Sensitivity Analysis Wizard - Abbey A-02/MenuStrip1/Tools
Calculate,,MenuItem,,root/ Sensitivity Analysis Wizard - Abbey A-02/MenuStrip1/Tools/Calculate
,,Separator,,root/ Sensitivity Analysis Wizard - Abbey A-02/MenuStrip1/Tools/Separator
Parameter Matrix Wizard...,,MenuItem,,root/ Sensitivity Analysis Wizard - Abbey A-02/MenuStrip1/Tools/Parameter Matrix Wizard...
,Panel1,Pane,WindowsForms10.Window.8.app.0.141b42a_r7_ad1,root/ Sensitivity Analysis Wizard - Abbey A-02/Panel1
,Panel2,Pane,WindowsForms10.Window.8.app.0.141b42a_r7_ad1,root/ Sensitivity Analysis Wizard - Abbey A-02/Panel1/Panel2
Parameter Matrix Wizard...,cmdMatrix,Button,WindowsForms10.BUTTON.app.0.141b42a_r7_ad1,root/ Sensitivity Analysis Wizard - Abbey A-02/Panel1/Panel2/Parameter Matrix Wizard...
Calculate,cmdCalc,Button,WindowsForms10.BUTTON.app.0.141b42a_r7_ad1,root/ Sensitivity Analysis Wizard - Abbey A-02/Panel1/Panel2/Calculate
Exit,cmdExit,Button,WindowsForms10.BUTTON.app.0.141b42a_r7_ad1,root/ Sensitivity Analysis Wizard - Abbey A-02/Panel1/Panel2/Exit
,BottomPanel,Pane,WindowsForms10.Window.8.app.0.141b42a_r7_ad1,root/ Sensitivity Analysis Wizard - Abbey A-02/BottomPanel
,LeftPanel,Pane,WindowsForms10.Window.8.app.0.141b42a_r7_ad1,root/ Sensitivity Analysis Wizard - Abbey A-02/LeftPanel
,RightPanel,Pane,WindowsForms10.Window.8.app.0.141b42a_r7_ad1,root/ Sensitivity Analysis Wizard - Abbey A-02/RightPanel
,TopPanel,Pane,WindowsForms10.Window.8.app.0.141b42a_r7_ad1,root/ Sensitivity Analysis Wizard - Abbey A-02/TopPanel
 Sensitivity Analysis Wizard - Abbey A-02,lblFormTitle,Text,WindowsForms10.STATIC.app.0.141b42a_r7_ad1,root/ Sensitivity Analysis Wizard - Abbey A-02/TopPanel/ Sensitivity Analysis Wizard - Abbey A-02
_,btnMinimize,Pane,WindowsForms10.Window.8.app.0.141b42a_r7_ad1,root/ Sensitivity Analysis Wizard - Abbey A-02/TopPanel/_
Maximize,btnMaximize,Pane,WindowsForms10.Window.8.app.0.141b42a_r7_ad1,root/ Sensitivity Analysis Wizard - Abbey A-02/TopPanel/Maximize
A,btnCloseForm,Pane,WindowsForms10.Window.8.app.0.141b42a_r7_ad1,root/ Sensitivity Analysis Wizard - Abbey A-02/TopPanel/A
,pnlIcon,Pane,WindowsForms10.Window.8.app.0.141b42a_r7_ad1,root/ Sensitivity Analysis Wizard - Abbey A-02/TopPanel/pnlIcon
,TCOrpheusMain,Tab,WindowsForms10.SysTabControl32.app.0.141b42a_r7_ad1,root/TCOrpheusMain
 Configuration ,tpConfiguration,Pane,WindowsForms10.Window.8.app.0.141b42a_r7_ad1,root/TCOrpheusMain/ Configuration 
,pnlConfigurationLoaded,Pane,WindowsForms10.Window.8.app.0.141b42a_r7_ad1,root/TCOrpheusMain/ Configuration /pnlConfigurationLoaded
,pnlConfigLoadedLeftSide,Pane,WindowsForms10.Window.8.app.0.141b42a_r7_ad1,root/TCOrpheusMain/ Configuration /pnlConfigurationLoaded/pnlConfigLoadedLeftSide
BHA :,lblJPBHA,Text,WindowsForms10.STATIC.app.0.141b42a_r7_ad1,root/TCOrpheusMain/ Configuration /pnlConfigurationLoaded/pnlConfigLoadedLeftSide/BHA :
Pipe :,lblJPString,Text,WindowsForms10.STATIC.app.0.141b42a_r7_ad1,root/TCOrpheusMain/ Configuration /pnlConfigurationLoaded/pnlConfigLoadedLeftSide/Pipe :
consisting of...,lblConsistingOf,Text,WindowsForms10.STATIC.app.0.141b42a_r7_ad1,root/TCOrpheusMain/ Configuration /pnlConfigurationLoaded/pnlConfigLoadedLeftSide/consisting of...
Project Notes:,lblProjectNotes,Text,WindowsForms10.STATIC.app.0.141b42a_r7_ad1,root/TCOrpheusMain/ Configuration /pnlConfigurationLoaded/pnlConfigLoadedLeftSide/Project Notes:
Application:,lblApplication,Text,WindowsForms10.STATIC.app.0.141b42a_r7_ad1,root/TCOrpheusMain/ Configuration /pnlConfigurationLoaded/pnlConfigLoadedLeftSide/Application:
Fluids:,lblFluids,Text,WindowsForms10.STATIC.app.0.141b42a_r7_ad1,root/TCOrpheusMain/ Configuration /pnlConfigurationLoaded/pnlConfigLoadedLeftSide/Fluids:
Well Geometry:,lblWellGeometry,Text,WindowsForms10.STATIC.app.0.141b42a_r7_ad1,root/TCOrpheusMain/ Configuration /pnlConfigurationLoaded/pnlConfigLoadedLeftSide/Well Geometry:
Project Name:,lblProjectName,Text,WindowsForms10.STATIC.app.0.141b42a_r7_ad1,root/TCOrpheusMain/ Configuration /pnlConfigurationLoaded/pnlConfigLoadedLeftSide/Project Name:
Tool String:,pnlConfigLoadedRightSide,Pane,WindowsForms10.Window.8.app.0.141b42a_r7_ad1,root/TCOrpheusMain/ Configuration /pnlConfigurationLoaded/Tool String:
,cmbApplication,ComboBox,WindowsForms10.COMBOBOX.app.0.141b42a_r7_ad1,root/TCOrpheusMain/ Configuration /pnlConfigurationLoaded/Tool String:/cmbApplication
,,Text,,root/TCOrpheusMain/ Configuration /pnlConfigurationLoaded/Tool String:/cmbApplication/Text
Open,,Button,,root/TCOrpheusMain/ Configuration /pnlConfigurationLoaded/Tool String:/cmbApplication/Open
 Brine Abby (local),lbl_Fluids,Text,WindowsForms10.STATIC.app.0.141b42a_r7_ad1,root/TCOrpheusMain/ Configuration /pnlConfigurationLoaded/Tool String:/ Brine Abby (local)
 Abbey A-02 (As-Drilled) (local),lbl_WellGeometry,Text,WindowsForms10.STATIC.app.0.141b42a_r7_ad1,root/TCOrpheusMain/ Configuration /pnlConfigurationLoaded/Tool String:/ Abbey A-02 (As-Drilled) (local)
 <not set>,lbl_BHA,Text,WindowsForms10.STATIC.app.0.141b42a_r7_ad1,root/TCOrpheusMain/ Configuration /pnlConfigurationLoaded/Tool String:/ <not set>
 Abbey A-02 (As-Run Tally) (local),lbl_GenericString,Text,WindowsForms10.STATIC.app.0.141b42a_r7_ad1,root/TCOrpheusMain/ Configuration /pnlConfigurationLoaded/Tool String:/ Abbey A-02 (As-Run Tally) (local)
(optional),pnlJPButtons,Pane,WindowsForms10.Window.8.app.0.141b42a_r7_ad1,root/TCOrpheusMain/ Configuration /pnlConfigurationLoaded/Tool String:/(optional)
(optional),lblJPOptional,Text,WindowsForms10.STATIC.app.0.141b42a_r7_ad1,root/TCOrpheusMain/ Configuration /pnlConfigurationLoaded/Tool String:/(optional)/(optional)
,btnJPEditWell,Button,WindowsForms10.BUTTON.app.0.141b42a_r7_ad1,root/TCOrpheusMain/ Configuration /pnlConfigurationLoaded/Tool String:/(optional)/btnJPEditWell
,btnJPEditTool,Button,WindowsForms10.BUTTON.app.0.141b42a_r7_ad1,root/TCOrpheusMain/ Configuration /pnlConfigurationLoaded/Tool String:/(optional)/btnJPEditTool
(optional),btnJPEditString,Button,WindowsForms10.BUTTON.app.0.141b42a_r7_ad1,root/TCOrpheusMain/ Configuration /pnlConfigurationLoaded/Tool String:/(optional)/(optional)
,btnOpenString,Button,WindowsForms10.BUTTON.app.0.141b42a_r7_ad1,root/TCOrpheusMain/ Configuration /pnlConfigurationLoaded/Tool String:/btnOpenString
,btnOpenFluids,Button,WindowsForms10.BUTTON.app.0.141b42a_r7_ad1,root/TCOrpheusMain/ Configuration /pnlConfigurationLoaded/Tool String:/btnOpenFluids
,btnOpenWell,Button,WindowsForms10.BUTTON.app.0.141b42a_r7_ad1,root/TCOrpheusMain/ Configuration /pnlConfigurationLoaded/Tool String:/btnOpenWell
,btnOpenTool,Button,WindowsForms10.BUTTON.app.0.141b42a_r7_ad1,root/TCOrpheusMain/ Configuration /pnlConfigurationLoaded/Tool String:/btnOpenTool
,btnOpenProject,Button,WindowsForms10.BUTTON.app.0.141b42a_r7_ad1,root/TCOrpheusMain/ Configuration /pnlConfigurationLoaded/Tool String:/btnOpenProject
,txtProjectNotes,Edit,WindowsForms10.EDIT.app.0.141b42a_r7_ad1,root/TCOrpheusMain/ Configuration /pnlConfigurationLoaded/Tool String:/txtProjectNotes
Abbey A-02,btnOrphProj,Button,WindowsForms10.BUTTON.app.0.141b42a_r7_ad1,root/TCOrpheusMain/ Configuration /pnlConfigurationLoaded/Tool String:/Abbey A-02
<not set>,txtCTString,Edit,WindowsForms10.RICHEDIT50W.app.0.141b42a_r7_ad1,root/TCOrpheusMain/ Configuration /pnlConfigurationLoaded/Tool String:/<not set>
(optional),btnJPRemoveToolString,Button,WindowsForms10.BUTTON.app.0.141b42a_r7_ad1,root/TCOrpheusMain/ Configuration /pnlConfigurationLoaded/Tool String:/(optional)
 Configuration ,,TabItem,,root/TCOrpheusMain/ Configuration 
   Calculate   ,,TabItem,,root/TCOrpheusMain/   Calculate   
      Q & A        ,,TabItem,,root/TCOrpheusMain/      Q & A        
ToolStrip1,ToolStrip1,ToolBar,WindowsForms10.Window.8.app.0.141b42a_r7_ad1,root/ToolStrip1
Grip,,Thumb,,root/ToolStrip1/Grip
Exit,,Button,,root/ToolStrip1/Exit
,,Separator,,root/ToolStrip1/Separator
,,Button,,root/ToolStrip1/Button
Open Project,,Button,,root/ToolStrip1/Open Project
,,Button,,root/ToolStrip1/Button
,,Separator,,root/ToolStrip1/Separator
,,Button,,root/ToolStrip1/Button
,,Separator,,root/ToolStrip1/Separator
,,Button,,root/ToolStrip1/Button
Tool String,,Button,,root/ToolStrip1/Tool String
Well Geometry,,Button,,root/ToolStrip1/Well Geometry
                    ,,Text,,root/ToolStrip1/                    
Job Monitor,,Button,,root/ToolStrip1/Job Monitor
Send to CTES Live,,Text,,root/ToolStrip1/Send to CTES Live
          ,,Text,,root/ToolStrip1/          
,,Button,,root/ToolStrip1/Button
MenuStrip1,MenuStrip1,MenuBar,WindowsForms10.Window.8.app.0.141b42a_r7_ad1,root/MenuStrip1
File,,MenuItem,,root/MenuStrip1/File
New Project...,,MenuItem,,root/MenuStrip1/File/New Project...
Open...,,MenuItem,,root/MenuStrip1/File/Open...
Save,,MenuItem,,root/MenuStrip1/File/Save
Save As...,,MenuItem,,root/MenuStrip1/File/Save As...
Delete,,MenuItem,,root/MenuStrip1/File/Delete
,,Separator,,root/MenuStrip1/File/Separator
Import Project...,,MenuItem,,root/MenuStrip1/File/Import Project...
Export Project...,,MenuItem,,root/MenuStrip1/File/Export Project...
,,Separator,,root/MenuStrip1/File/Separator
Print...,,MenuItem,,root/MenuStrip1/File/Print...
E-Mail Project To...,,MenuItem,,root/MenuStrip1/File/E-Mail Project To...
Exit,,MenuItem,,root/MenuStrip1/File/Exit
Configuration,,MenuItem,,root/MenuStrip1/Configuration
String...,,MenuItem,,root/MenuStrip1/Configuration/String...
BHA...,,MenuItem,,root/MenuStrip1/Configuration/BHA...
,,Separator,,root/MenuStrip1/Configuration/Separator
Well Geometry...,,MenuItem,,root/MenuStrip1/Configuration/Well Geometry...
,,Separator,,root/MenuStrip1/Configuration/Separator
Fluids...,,MenuItem,,root/MenuStrip1/Configuration/Fluids...
,,Separator,,root/MenuStrip1/Configuration/Separator
Weak Point...,,MenuItem,,root/MenuStrip1/Configuration/Weak Point...
Torque Inputs...,,MenuItem,,root/MenuStrip1/Configuration/Torque Inputs...
Options,,MenuItem,,root/MenuStrip1/Options
Units...,,MenuItem,,root/MenuStrip1/Options/Units...
Project Calculation Options...,,MenuItem,,root/MenuStrip1/Options/Project Calculation Options...
Tools,,MenuItem,,root/MenuStrip1/Tools
Sensitivity Analysis...,,MenuItem,,root/MenuStrip1/Tools/Sensitivity Analysis...
Report Generator...,,MenuItem,,root/MenuStrip1/Tools/Report Generator...
Tool Fit Analysis...,,MenuItem,,root/MenuStrip1/Tools/Tool Fit Analysis...
Extended Reach...,,MenuItem,,root/MenuStrip1/Tools/Extended Reach...
Friction Coefficient Analysis...,,MenuItem,,root/MenuStrip1/Tools/Friction Coefficient Analysis...
Free Fall Analysis...,,MenuItem,,root/MenuStrip1/Tools/Free Fall Analysis...
,,Separator,,root/MenuStrip1/Tools/Separator
Stuck Point Analysis...,,MenuItem,,root/MenuStrip1/Tools/Stuck Point Analysis...
Help,,MenuItem,,root/MenuStrip1/Help
Help on Orpheus,,MenuItem,,root/MenuStrip1/Help/Help on Orpheus
Orpheus Wizard,,MenuItem,,root/MenuStrip1/Help/Orpheus Wizard
About Orpheus...,,MenuItem,,root/MenuStrip1/Help/About Orpheus...
Bottom :,BottomPanel,Pane,WindowsForms10.Window.8.app.0.141b42a_r7_ad1,root/Bottom :
Bottom :,LeftPanel,Pane,WindowsForms10.Window.8.app.0.141b42a_r7_ad1,root/Bottom :
Bottom :,RightPanel,Pane,WindowsForms10.Window.8.app.0.141b42a_r7_ad1,root/Bottom :
Bottom :,TopPanel,Pane,WindowsForms10.Window.8.app.0.141b42a_r7_ad1,root/Bottom :
Orpheus - <Abbey A-02 (local)>     ,lblFormTitle,Text,WindowsForms10.STATIC.app.0.141b42a_r7_ad1,root/Bottom :/Orpheus - <Abbey A-02 (local)>     
_,btnMinimize,Pane,WindowsForms10.Window.8.app.0.141b42a_r7_ad1,root/Bottom :/_
A,btnCloseForm,Pane,WindowsForms10.Window.8.app.0.141b42a_r7_ad1,root/Bottom :/A
Bottom :,pnlIcon,Pane,WindowsForms10.Window.8.app.0.141b42a_r7_ad1,root/Bottom :/Bottom :
