WindowText,AutomationId,ControlType,ClassName,DepthPath
Add a series of values to the list,GroupBox1,Group,WindowsForms10.Window.8.app.0.141b42a_r7_ad1,root/ Sensitivity Analysis Wizard - Abbey A-02/ Sensitivity Parameter Matrix Wizard/ Parameter Value Editor - BHA Depth/SplitContainer1/3349074/Panel3/pnlNumeric/Add a series of values to the list
Add a series of values to the list,Label5,Text,WindowsForms10.STATIC.app.0.141b42a_r7_ad1,root/ Sensitivity Analysis Wizard - Abbey A-02/ Sensitivity Parameter Matrix Wizard/ Parameter Value Editor - BHA Depth/SplitContainer1/3349074/Panel3/pnlNumeric/Add a series of values to the list
Type value(s) and add to the list,Label4,Text,WindowsForms10.STATIC.app.0.141b42a_r7_ad1,root/ Sensitivity Analysis Wizard - Abbey A-02/ Sensitivity Parameter Matrix Wizard/ Parameter Value Editor - BHA Depth/SplitContainer1/3349074/Panel3/pnlNumeric/Type value(s) and add to the list
Select and remove value(s) from the list,Label2,Text,WindowsForms10.STATIC.app.0.141b42a_r7_ad1,root/ Sensitivity Analysis Wizard - Abbey A-02/ Sensitivity Parameter Matrix Wizard/ Parameter Value Editor - BHA Depth/SplitContainer1/3349074/Panel3/pnlNumeric/Select and remove value(s) from the list
,cmdDelete,Button,WindowsForms10.BUTTON.app.0.141b42a_r7_ad1,root/ Sensitivity Analysis Wizard - Abbey A-02/ Sensitivity Parameter Matrix Wizard/ Parameter Value Editor - BHA Depth/SplitContainer1/3349074/Panel3/pnlNumeric/cmdDelete
Browse and add to the list,CtesGroupBox1,Group,WindowsForms10.Window.8.app.0.141b42a_r7_ad1,root/ Sensitivity Analysis Wizard - Abbey A-02/ Sensitivity Parameter Matrix Wizard/ Parameter Value Editor - BHA Depth/SplitContainer1/3349074/Panel3/Browse and add to the list
,Panel4,Pane,WindowsForms10.Window.8.app.0.141b42a_r7_ad1,root/ Sensitivity Analysis Wizard - Abbey A-02/ Sensitivity Parameter Matrix Wizard/ Parameter Value Editor - BHA Depth/SplitContainer1/3349074/Panel3/Panel4
,Panel5,Pane,WindowsForms10.Window.8.app.0.141b42a_r7_ad1,root/ Sensitivity Analysis Wizard - Abbey A-02/ Sensitivity Parameter Matrix Wizard/ Parameter Value Editor - BHA Depth/SplitContainer1/3349074/Panel3/Panel5
Edit Values:,Label3,Text,WindowsForms10.STATIC.app.0.141b42a_r7_ad1,root/ Sensitivity Analysis Wizard - Abbey A-02/ Sensitivity Parameter Matrix Wizard/ Parameter Value Editor - BHA Depth/SplitContainer1/3349074/Edit Values:
Edit Values:,1187102,Pane,WindowsForms10.Window.8.app.0.141b42a_r7_ad1,root/ Sensitivity Analysis Wizard - Abbey A-02/ Sensitivity Parameter Matrix Wizard/ Parameter Value Editor - BHA Depth/SplitContainer1/Edit Values:
Value List:,lstValues,List,WindowsForms10.LISTBOX.app.0.141b42a_r7_ad1,root/ Sensitivity Analysis Wizard - Abbey A-02/ Sensitivity Parameter Matrix Wizard/ Parameter Value Editor - BHA Depth/SplitContainer1/Edit Values:/Value List:
14946,,ListItem,,root/ Sensitivity Analysis Wizard - Abbey A-02/ Sensitivity Parameter Matrix Wizard/ Parameter Value Editor - BHA Depth/SplitContainer1/Edit Values:/Value List:/14946
